Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Status,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework,Time Allocation,Reading and Note Taking,Study Period Procedures,Examination,Teachers Consultation
Michael Becker,4,21533537,2.0,2.5,1.75,5.0,5.0,Irregular,,,,3.25,2,No,Good,Digital,Group Discussions,5.0,No
Karen Clements,1,24451751,3.0,2.75,1.0,1.75,2.75,Regular,,,,2.2,0,No,Fair,Digital,Summarizing,2.0,Yes
Bradley Rivera,4,21004534,1.5,2.25,3.0,2.0,1.0,Regular,,,,1.95,0,Yes,Good,Handwritten,Summarizing,18.0,Yes
Steven Conley,1,24690950,1.5,1.5,1.25,1.5,5.0,Irregular,,,,2.2,1,No,Fair,Digital,Group Discussions,4.0,Yes
Mark Harris,1,24761320,2.25,1.0,5.0,2.75,1.0,Irregular,,,,2.41,1,Yes,Fair,Handwritten,Group Discussions,12.0,Yes
Jennifer Brown,4,21518314,4.0,2.0,2.75,1.75,2.5,Irregular,,,,2.6,1,Yes,Poor,Handwritten,Summarizing,8.0,No
Angela Shannon,1,24713579,2.0,3.0,2.25,1.0,2.0,Regular,,,,2.05,0,No,Poor,Handwritten,Group Discussions,12.0,No
Lisa Sanchez,4,21855164,2.25,1.25,5.0,2.5,2.75,Irregular,,,,2.75,1,Yes,Fair,Handwritten,Flashcards,16.0,Yes
Amanda Rodriguez,2,23596791,1.75,2.5,5.0,1.25,1.25,Irregular,2.75,3.0,5.0,2.86,2,Yes,Fair,Digital,Summarizing,11.0,No
Benjamin Russo,1,24316436,1.5,5.0,2.5,2.0,1.75,Irregular,,,,2.62,1,No,Poor,Handwritten,Summarizing,20.0,No
Rhonda Sandoval,4,21298152,2.5,2.5,2.5,3.0,2.25,Regular,,,,2.55,0,Yes,Poor,Handwritten,Group Discussions,8.0,No
Donald Franklin,1,24730856,2.5,2.5,2.5,4.0,1.75,Irregular,,,,2.66,1,No,Poor,Handwritten,Summarizing,3.0,Yes
Lori Morris,3,22276278,4.0,2.75,1.25,3.0,2.25,Irregular,3.0,2.5,,2.68,1,Yes,Fair,Handwritten,Summarizing,20.0,Yes
Jennifer Burton,1,24170604,2.75,1.25,2.5,5.0,4.0,Irregular,,,,3.12,2,No,Poor,Digital,Group Discussions,16.0,Yes
Mary Stevens,4,21425346,2.0,2.75,2.25,3.0,1.25,Regular,,,,2.25,0,Yes,Poor,Digital,Group Discussions,6.0,No
Christina Kim,3,22896154,1.25,3.0,2.5,2.25,1.25,Irregular,1.5,5.0,,2.39,1,Yes,Poor,Digital,Pomodoro,5.0,No
Kari Smith,3,22258778,1.75,2.0,5.0,1.25,2.0,Irregular,2.0,1.5,,2.21,1,Yes,Poor,Digital,Group Discussions,2.0,No
Brittney Johnson,1,24920860,1.0,1.0,1.0,4.0,2.5,Irregular,,,,1.96,1,Yes,Poor,Digital,Summarizing,15.0,Yes
Patricia Rodriguez,1,24941280,5.0,1.0,2.5,1.5,1.5,Irregular,,,,2.11,1,Yes,Fair,Digital,Flashcards,7.0,Yes
Joel Martinez,4,21367822,1.25,1.75,1.0,1.0,2.0,Regular,,,,1.4,0,Yes,Poor,Digital,Summarizing,3.0,Yes
Darlene Holt,4,21831238,5.0,1.5,4.0,4.0,2.25,Irregular,,,,3.35,3,No,Poor,Digital,Group Discussions,17.0,Yes
Kelly Hall,3,22112447,3.0,3.0,3.0,2.5,4.0,Irregular,5.0,3.0,,3.36,2,No,Poor,Handwritten,Pomodoro,15.0,No
Alexandra Edwards,3,22807505,3.0,1.75,1.5,2.75,2.25,Regular,2.0,2.5,,2.25,0,No,Fair,Handwritten,Group Discussions,8.0,No
Brandon Smith,1,24104193,1.25,1.0,1.5,4.0,1.5,Irregular,,,,1.89,1,Yes,Good,Handwritten,Pomodoro,14.0,Yes
Andrea Wilson,3,22904630,5.0,1.25,1.25,3.0,1.25,Irregular,2.25,2.0,,2.29,1,No,Fair,Handwritten,Flashcards,7.0,Yes
Michael Harris,1,24359973,5.0,2.25,1.5,5.0,5.0,Irregular,,,,3.66,3,No,Poor,Digital,Pomodoro,5.0,No
Kristin Glass,3,22504170,5.0,1.25,1.25,5.0,3.0,Irregular,3.0,3.0,,3.07,2,Yes,Good,Handwritten,Pomodoro,19.0,Yes
Wendy Howard,2,23593466,1.5,2.5,1.0,3.0,5.0,Irregular,1.5,2.25,5.0,2.77,2,No,Poor,Digital,Pomodoro,19.0,No
Erica Campbell,4,21047461,3.0,1.0,3.0,4.0,1.0,Irregular,,,,2.4,1,No,Good,Digital,Group Discussions,9.0,Yes
Alexander Cummings,1,24076533,1.75,1.5,1.25,1.75,2.25,Regular,,,,1.7,0,Yes,Fair,Digital,Summarizing,11.0,No
Lonnie Brown,4,21619299,2.75,1.5,1.75,1.5,2.25,Regular,,,,1.95,0,Yes,Good,Digital,Flashcards,1.0,No
David Landry,3,22632031,5.0,2.25,4.0,1.75,2.25,Irregular,3.0,1.25,,2.79,2,Yes,Good,Handwritten,Flashcards,8.0,No
Herbert Parker,1,24609075,2.25,2.75,1.0,1.5,2.5,Regular,,,,1.98,0,Yes,Poor,Digital,Group Discussions,16.0,No
Mathew Turner,2,23341600,3.0,4.0,2.25,1.0,2.25,Irregular,5.0,3.0,2.0,2.8,2,No,Good,Digital,Pomodoro,16.0,Yes
Erik Gomez,3,22653243,2.25,1.25,3.0,1.25,5.0,Irregular,5.0,4.0,,3.11,3,No,Good,Handwritten,Group Discussions,15.0,No
Cindy Martinez,4,21004710,1.0,4.0,2.25,1.0,1.0,Irregular,,,,1.85,1,No,Good,Digital,Summarizing,12.0,No
Kelly Campbell,3,22393758,1.5,1.5,1.75,3.0,2.0,Regular,2.5,1.0,,1.89,0,Yes,Good,Handwritten,Summarizing,1.0,Yes
Hunter Yu,2,23808481,3.0,4.0,1.0,3.0,1.25,Irregular,1.25,1.75,1.5,2.05,1,No,Good,Handwritten,Summarizing,12.0,No
Jill Hamilton,4,21749142,2.75,3.0,4.0,1.25,3.0,Irregular,,,,2.8,1,No,Good,Handwritten,Pomodoro,16.0,Yes
Michael Griffith,2,23557619,1.0,4.0,1.25,4.0,2.25,Irregular,1.0,2.75,5.0,2.73,3,No,Poor,Handwritten,Group Discussions,19.0,No
Mario Garcia,1,24702774,1.5,2.75,1.0,4.0,4.0,Irregular,,,,2.73,2,No,Poor,Digital,Summarizing,11.0,Yes
Dylan Robles,3,22666408,5.0,1.25,1.5,4.0,2.0,Irregular,1.5,1.5,,2.39,2,Yes,Fair,Handwritten,Flashcards,2.0,Yes
Kayla Kim,4,21096990,4.0,5.0,2.0,1.5,1.0,Irregular,,,,2.7,2,Yes,Good,Handwritten,Group Discussions,2.0,No
Karen Scott,1,24024758,2.75,2.75,1.5,2.25,1.5,Regular,,,,2.11,0,Yes,Good,Handwritten,Flashcards,9.0,No
Rebecca Hughes,2,23318551,1.25,2.5,1.5,1.0,2.0,Irregular,1.5,1.25,5.0,2.03,1,Yes,Poor,Digital,Pomodoro,5.0,Yes
Timothy Smith,1,24027562,4.0,2.5,1.25,2.75,4.0,Irregular,,,,2.82,2,Yes,Fair,Handwritten,Group Discussions,6.0,No
Caroline Lee,2,23500012,1.75,1.0,2.75,2.0,2.25,Irregular,5.0,1.75,1.5,2.27,1,Yes,Fair,Handwritten,Flashcards,12.0,Yes
Marcus Flores,3,22981149,1.25,1.25,2.25,1.0,1.25,Irregular,4.0,1.0,,1.71,1,No,Good,Handwritten,Group Discussions,5.0,Yes
Kayla Mora,2,23821098,2.5,1.0,5.0,5.0,5.0,Irregular,2.0,5.0,1.5,3.41,4,Yes,Good,Handwritten,Pomodoro,19.0,Yes
Debra Schultz,4,21934054,3.0,1.25,2.75,1.75,4.0,Irregular,,,,2.55,1,No,Good,Handwritten,Summarizing,14.0,No
Elizabeth Ramsey,1,24966200,5.0,5.0,1.5,2.5,2.75,Irregular,,,,3.23,2,Yes,Good,Digital,Pomodoro,10.0,No
William Russo,1,24721918,2.75,2.5,2.75,1.0,1.5,Regular,,,,2.05,0,Yes,Good,Handwritten,Summarizing,17.0,No
Michael Anderson,1,24719310,1.75,2.75,1.0,3.0,1.75,Regular,,,,2.07,0,Yes,Poor,Digital,Pomodoro,6.0,Yes
Jodi Reese MD,1,24872042,2.5,2.5,1.5,2.75,2.75,Regular,,,,2.39,0,No,Good,Handwritten,Flashcards,10.0,No
Alyssa Lloyd,3,22885316,1.75,2.0,1.75,5.0,1.5,Irregular,2.25,1.75,,2.29,1,Yes,Poor,Digital,Flashcards,14.0,Yes
Christopher Alexander,2,23848283,2.5,2.75,1.5,2.75,1.75,Regular,3.0,1.5,2.5,2.27,0,Yes,Poor,Handwritten,Group Discussions,13.0,No
Amber Jackson,4,21615479,4.0,1.75,2.75,1.75,2.0,Irregular,,,,2.45,1,Yes,Poor,Digital,Group Discussions,12.0,Yes
Joshua Graves,2,23646644,2.5,4.0,2.0,3.0,2.0,Irregular,4.0,4.0,2.25,2.99,3,Yes,Poor,Digital,Flashcards,13.0,Yes
Rodney Ward,1,24127501,1.75,2.0,1.75,1.0,2.0,Regular,,,,1.7,0,No,Poor,Handwritten,Summarizing,9.0,Yes
Jacqueline West MD,4,21450790,2.75,1.25,5.0,2.25,2.75,Irregular,,,,2.8,1,Yes,Poor,Digital,Summarizing,5.0,Yes
Timothy Garza,4,21505853,1.0,5.0,2.75,3.0,4.0,Irregular,,,,3.15,2,Yes,Good,Digital,Summarizing,9.0,No
Brittany Tucker,4,21284980,2.25,5.0,1.0,2.25,1.75,Irregular,,,,2.45,1,No,Fair,Handwritten,Pomodoro,3.0,No
Devon Foster,3,22549039,4.0,1.25,2.25,1.75,2.5,Irregular,1.0,1.0,,1.96,1,Yes,Poor,Handwritten,Flashcards,12.0,No
Judith Hale,2,23096570,2.0,3.0,1.75,2.75,2.25,Regular,2.0,3.0,2.5,2.42,0,No,Good,Handwritten,Group Discussions,20.0,Yes
Leslie Lloyd DVM,4,21130190,2.5,2.75,1.5,2.5,4.0,Irregular,,,,2.65,1,Yes,Good,Handwritten,Flashcards,5.0,Yes
Hannah Monroe,1,24827076,3.0,3.0,1.25,1.75,2.75,Regular,,,,2.3,0,No,Fair,Handwritten,Pomodoro,17.0,No
Alicia Weiss,2,23049145,5.0,2.25,2.0,3.0,2.75,Irregular,1.25,5.0,2.25,2.85,2,Yes,Good,Digital,Flashcards,18.0,No
Stephanie Rogers,1,24307480,2.0,3.0,1.25,5.0,1.5,Irregular,,,,2.59,1,No,Good,Digital,Summarizing,11.0,No
Samantha Wallace,3,22141645,1.0,1.0,1.5,2.75,5.0,Irregular,1.0,1.25,,1.93,1,No,Poor,Digital,Flashcards,18.0,Yes
Jane Mccall,3,22627794,2.25,3.0,2.5,2.0,3.0,Regular,1.0,2.75,,2.36,0,Yes,Poor,Handwritten,Summarizing,15.0,No
Dana Patterson,3,22719942,2.75,1.25,3.0,2.5,1.25,Irregular,1.0,4.0,,2.25,1,No,Good,Digital,Pomodoro,11.0,Yes
Jamie Murphy,3,22440633,1.75,4.0,2.25,5.0,2.5,Irregular,1.75,2.5,,2.82,2,Yes,Poor,Handwritten,Summarizing,8.0,No
Emma Freeman,2,23267851,1.0,2.25,1.0,1.25,2.5,Regular,1.75,2.25,1.0,1.65,0,No,Good,Handwritten,Flashcards,15.0,No
Fernando Wilson,4,21011472,5.0,4.0,1.75,1.75,5.0,Irregular,,,,3.5,3,Yes,Fair,Digital,Flashcards,10.0,Yes
Mr. James Johnson,3,22176045,1.75,1.5,1.0,2.0,1.25,Regular,3.0,1.0,,1.64,0,No,Poor,Handwritten,Group Discussions,11.0,No
Christine Smith DDS,1,24576253,2.25,2.0,5.0,3.0,2.5,Irregular,,,,3.0,1,No,Good,Handwritten,Pomodoro,15.0,No
Kenneth Gentry,2,23796898,3.0,1.5,1.5,2.75,2.5,Irregular,1.5,4.0,5.0,2.71,2,No,Good,Digital,Group Discussions,1.0,No
John Conley,4,21694751,1.5,1.75,2.5,1.0,1.75,Regular,,,,1.7,0,No,Good,Digital,Pomodoro,12.0,No
Carlos Brown,3,22887000,1.5,2.0,1.25,2.5,5.0,Irregular,1.75,2.25,,2.32,1,Yes,Poor,Handwritten,Summarizing,16.0,No
Pamela Simmons,3,22513187,2.25,4.0,1.0,2.75,4.0,Irregular,1.25,1.5,,2.39,2,No,Fair,Digital,Group Discussions,10.0,No
William Wright,1,24474133,5.0,1.5,5.0,1.0,1.5,Irregular,,,,2.64,2,No,Fair,Digital,Pomodoro,2.0,No
Rhonda Chavez,4,21575770,5.0,4.0,1.25,2.75,4.0,Irregular,,,,3.4,3,No,Poor,Digital,Flashcards,18.0,No
Erin Barrera,1,24799645,3.0,4.0,1.5,2.0,4.0,Irregular,,,,2.89,2,No,Good,Handwritten,Summarizing,20.0,No
Loretta Franco,2,23401112,1.0,1.25,2.5,2.5,5.0,Irregular,1.25,2.25,2.5,2.34,1,No,Fair,Handwritten,Summarizing,3.0,No
Sharon Gomez,1,24760917,2.0,3.0,2.0,1.75,3.0,Regular,,,,2.38,0,No,Poor,Handwritten,Pomodoro,11.0,Yes
Tony Graham,1,24424244,1.5,1.0,3.0,5.0,2.75,Irregular,,,,2.73,1,No,Poor,Digital,Pomodoro,12.0,No
Robert Bell,3,22345683,1.75,1.25,4.0,2.75,2.5,Irregular,1.5,1.25,,2.14,1,Yes,Fair,Handwritten,Summarizing,4.0,No
Keith Miller,2,23832565,2.0,1.75,2.0,2.0,2.0,Irregular,4.0,5.0,1.75,2.59,2,No,Poor,Digital,Pomodoro,5.0,No
Lisa Williams,1,24001753,1.5,2.75,2.25,5.0,2.5,Irregular,,,,2.89,1,No,Poor,Digital,Group Discussions,12.0,Yes
Edward Jordan,1,24136379,1.0,1.25,1.25,5.0,1.75,Irregular,,,,2.12,1,Yes,Poor,Handwritten,Pomodoro,8.0,Yes
Rebecca Yang,3,22952787,1.5,2.5,2.75,3.0,1.5,Irregular,1.5,4.0,,2.39,1,No,Poor,Digital,Group Discussions,5.0,No
Kayla Miller,2,23557980,2.25,1.75,2.25,1.25,1.5,Regular,1.25,2.75,2.25,1.89,0,No,Good,Handwritten,Pomodoro,20.0,Yes
Patrick Johnson,1,24778887,2.5,1.0,2.5,1.0,1.5,Regular,,,,1.64,0,Yes,Good,Digital,Pomodoro,3.0,No
Alan Nguyen,4,21685556,1.0,2.0,1.25,1.0,1.5,Regular,,,,1.35,0,Yes,Good,Digital,Group Discussions,18.0,No
John Thompson,1,24177060,3.0,2.25,1.25,1.5,4.0,Irregular,,,,2.36,1,No,Good,Handwritten,Group Discussions,4.0,No
Autumn Mccormick,3,22440652,1.75,5.0,4.0,1.0,5.0,Irregular,2.75,1.25,,2.96,3,No,Good,Digital,Pomodoro,19.0,No
Jennifer Blackwell,2,23349476,5.0,2.0,2.75,5.0,2.5,Irregular,2.0,1.0,2.75,2.78,2,No,Good,Digital,Pomodoro,20.0,Yes
Kristin Walsh,2,23469660,5.0,1.25,5.0,2.0,1.75,Irregular,1.75,1.5,2.0,2.42,2,No,Poor,Digital,Flashcards,3.0,No
Charles Nolan,2,23128730,2.25,5.0,2.0,2.75,5.0,Irregular,1.0,1.75,4.0,3.0,3,No,Fair,Digital,Pomodoro,8.0,Yes
Shane Reyes,2,23105584,1.75,1.75,4.0,4.0,1.75,Irregular,2.0,5.0,1.5,2.76,3,No,Poor,Digital,Pomodoro,1.0,No
